ORF,Gene,Plate,Row,Column,wellId
YMR259C,0,1,11,1,r11c01
YGR097W,ASK10,1,11,2,r11c02
YDL112W,TRM3,1,11,3,r11c03
YKL038W,RGT1,1,11,4,r11c04
YER164W,CHD1,1,11,5,r11c05
YBR218C,PYC2,1,11,6,r11c06
YBL034C,STU1,1,11,7,r11c07
YAR009C,0,1,11,8,r11c08
YLR247C,IRC20,1,11,9,r11c09
YPL110C,GDE1,1,11,10,r11c10
YOR191W,RIS1,1,11,11,r11c11
YMR304W,UBP15,1,11,12,r11c12
YOR341W,RPA190,1,11,13,r11c13
YOR227W,HER1,1,11,14,r11c14
YER132C,PMD1,1,11,15,r11c15
YDL195W,SEC31,1,11,16,r11c16
YPL231W,FAS2,1,11,17,r11c17
YLR398C,SKI2,1,11,18,r11c18
YCR093W,CDC39,1,11,19,r11c19
YBR081C,SPT7,1,11,20,r11c20
YLR430W,SEN1,1,11,21,r11c21
YGR061C,ADE6,1,11,22,r11c22
YDR457W,TOM1,1,11,23,r11c23
YBL047C,EDE1,1,11,24,r11c24
YGL207W,SPT16,1,12,1,r12c01
YER024W,YAT2,1,12,2,r12c02
YNL327W,EGT2,1,12,3,r12c03
YER075C,PTP3,1,12,4,r12c04
YDR325W,YCG1,1,12,5,r12c05
YLR129W,DIP2,1,12,6,r12c06
YML010W,SPT5,1,12,7,r12c07
YIL002C,INP51,1,12,8,r12c08
YGL178W,MPT5,1,12,9,r12c09
YGR140W,CBF2,1,12,10,r12c10
YHR119W,SET1,1,12,11,r12c11
YDL190C,UFD2,1,12,12,r12c12
YLR223C,IFH1,1,12,13,r12c13
YIR023W,DAL81,1,12,14,r12c14
YER111C,SWI4,1,12,15,r12c15
YBL005W,PDR3,1,12,16,r12c16
YMR218C,TRS130,1,12,17,r12c17
YOR363C,PIP2,1,12,18,r12c18
YLR383W,SMC6,1,12,19,r12c19
YOR127W,RGA1,1,12,20,r12c20
YER176W,ECM32,1,12,21,r12c21
YLL031C,GPI13,1,12,22,r12c22
YGL151W,NUT1,1,12,23,r12c23
YBL037W,APL3,1,12,24,r12c24
YDR443C,SSN2,1,13,1,r13c01
YDR128W,MTC5,1,13,2,r13c02
YDR326C,YSP2,1,13,3,r13c03
YFR031C,SMC2,1,13,4,r13c04
YAL029C,MYO4,1,13,5,r13c05
YNL106C,INP52,1,13,6,r13c06
YDR334W,SWR1,1,13,7,r13c07
YLR189C,ATG26,1,13,8,r13c08
YHR186C,KOG1,1,13,9,r13c09
YOR151C,RPB2,1,13,10,r13c10
YGR098C,ESP1,1,13,11,r13c11
YJL074C,SMC3,1,13,12,r13c12
YML059C,NTE1,1,13,13,r13c13
YDR293C,SSD1,1,13,14,r13c14
YKL014C,URB1,1,13,15,r13c15
YLR436C,ECM30,1,13,16,r13c16
YBR275C,RIF1,1,13,17,r13c17
YOR296W,0,1,13,18,r13c18
YMR207C,HFA1,1,13,19,r13c19
YOL138C,RTC1,1,13,20,r13c20
YNR016C,ACC1,1,13,21,r13c21
YDR227W,SIR4,1,13,22,r13c22
YKR054C,DYN1,1,13,23,r13c23
YBR115C,LYS2,1,13,24,r13c24
YPL075W,GCR1,1,14,1,r14c01
,Msn2,1,14,2,r14c02
YKL197C,PEX1,1,14,3,r14c03
YPR019W,CDC54,1,14,4,r14c04
YMR261C,TPS3,1,14,5,r14c05
YML076C,WAR1,1,14,6,r14c06
YNL267W,PIK1,1,14,7,r14c07
YGR204W,ADE3,1,14,8,r14c08
YPR097W,0,1,14,9,r14c09
YEL043W,0,1,14,10,r14c10
YHR102W,KIC1,1,14,11,r14c11
